[2026-01-19 12:11:02,668][INFO] copytrade 启动 | poll_interval=60.0s
[2026-01-19 12:11:17,701][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768841856000
[2026-01-19 12:11:32,738][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768819438000
[2026-01-19 12:11:47,768][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768841856000
[2026-01-19 12:11:47,769][INFO] no token updates, total=0
[2026-01-19 12:13:02,803][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768841856000
[2026-01-19 12:13:17,839][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768819438000
[2026-01-19 12:13:32,879][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768841856000
[2026-01-19 12:13:32,879][INFO] no token updates, total=0
[2026-01-19 12:14:43,463][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=3 normalized=1 since_ms=1768841856000
[2026-01-19 12:14:58,480][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768819438000
[2026-01-19 12:15:13,502][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768842276000
[2026-01-19 12:15:13,503][INFO] tokens output updated: /home/trader/polymarket_api/POLYMARKET_MAKER_copytrade_v2/copytrade/tokens_from_copytrade.json (total=1)
[2026-01-19 12:16:28,530][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768842276000
[2026-01-19 12:16:29,095][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768819438000
[2026-01-19 12:16:44,105][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768842276000
[2026-01-19 12:16:44,105][INFO] no token updates, total=1
[2026-01-19 12:17:56,831][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768842276000
[2026-01-19 12:18:11,848][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768819438000
[2026-01-19 12:18:12,197][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=1 since_ms=1768842276000
[2026-01-19 12:18:12,198][INFO] tokens output updated: /home/trader/polymarket_api/POLYMARKET_MAKER_copytrade_v2/copytrade/tokens_from_copytrade.json (total=2)
[2026-01-19 12:19:27,218][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:19:40,690][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768819438000
[2026-01-19 12:19:55,707][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:19:55,708][INFO] no token updates, total=2
[2026-01-19 12:21:10,740][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:21:25,781][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768819438000
[2026-01-19 12:21:40,812][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:21:40,812][INFO] no token updates, total=2
[2026-01-19 12:22:53,438][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
