[2026-01-18 03:32:09,063][INFO] copytrade 启动 | poll_interval=30.0s
[2026-01-18 03:32:09,066][INFO] 初始化目标账户状态，忽略已有仓位: account=0x96489abcb9f583d6835c8ef95ffc923d05a86825
[2026-01-18 03:32:09,067][INFO] 初始化目标账户状态，忽略已有仓位: account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5
[2026-01-18 03:32:09,068][INFO] no token updates, total=0
[2026-01-18 03:32:39,437][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:32:39,752][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:32:39,752][INFO] no token updates, total=0
[2026-01-18 03:33:10,072][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:33:10,390][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:33:10,391][INFO] no token updates, total=0
[2026-01-18 03:33:40,711][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:33:41,008][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:33:41,008][INFO] no token updates, total=0
[2026-01-18 03:34:11,346][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:34:11,652][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:34:11,652][INFO] no token updates, total=0
[2026-01-18 03:34:42,003][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:34:42,326][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:34:42,326][INFO] no token updates, total=0
[2026-01-18 03:35:12,631][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:35:12,974][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:35:12,975][INFO] no token updates, total=0
[2026-01-18 03:35:43,295][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=1 since_ms=1768725129066
[2026-01-18 03:35:43,613][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:35:43,614][INFO] tokens output updated: /home/trader/polymarket_api/POLYMARKET_MAKER_copytrade_v2/copytrade/tokens_from_copytrade.json (total=1)
[2026-01-18 03:36:13,951][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768725310000
[2026-01-18 03:36:14,264][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:36:14,265][INFO] no token updates, total=1
[2026-01-18 03:36:44,583][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768725310000
[2026-01-18 03:36:44,870][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:36:44,870][INFO] no token updates, total=1
[2026-01-18 03:37:15,213][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=1 since_ms=1768725310000
[2026-01-18 03:37:15,642][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:37:15,643][INFO] tokens output updated: /home/trader/polymarket_api/POLYMARKET_MAKER_copytrade_v2/copytrade/tokens_from_copytrade.json (total=1)
[2026-01-18 03:37:45,965][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768725416000
[2026-01-18 03:37:46,282][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:37:46,282][INFO] no token updates, total=1
[2026-01-18 03:38:16,591][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768725416000
[2026-01-18 03:38:16,889][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:38:16,889][INFO] no token updates, total=1
[2026-01-18 03:38:47,203][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768725416000
[2026-01-18 03:38:47,502][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:38:47,502][INFO] no token updates, total=1
[2026-01-18 03:39:17,822][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768725416000
[2026-01-18 03:39:18,132][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:39:18,132][INFO] no token updates, total=1
